Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Upgreyd,564121831,0,0,0,153938,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Krupten,427459795,0,0,0,154508,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Drcct,539764381,19,19,0,136409,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tzoid,764254651,2,2,0,148194,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Esaascar,478314836,0,0,0,148655,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sutti,363928881,0,0,0,151311,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Btr Nut,236412553,7,0,7,133777,Shaak Ti Fives Rex Echo (501st) R4 ARC Trooper G12
Juan Quenovi,476671372,6,6,0,139260,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI MetalPrawn,619735683,3,1,2,135669,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
LordJarJar,268221268,12,12,0,146956,Shaak Ti Fives Rex Echo (501st) ARC Trooper
This Is The Way,582538533,0,0,0,152681,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Lala,235129274,30,28,2,145405,Shaak Ti Fives R3 Rex Echo (501st) ARC Trooper
TorenCalduris,486623434,0,0,0,156277,Shaak Ti Fives Rex Echo (501st) ARC Trooper
KingZach,695634865,29,17,12,135891,Shaak Ti Fives G12 Rex G12 Echo (501st) ARC Trooper
Jameg,357873854,38,38,0,140425,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jollyrogercjf,497215141,5,5,0,138813,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthToren,623628757,0,0,0,154001,Shaak Ti Fives Rex Echo (501st) ARC Trooper
bellojack,664471259,33,21,12,135754,Shaak Ti Fives G12 Rex G12 Echo (501st) ARC Trooper
Jackie Daytona,495695596,6,4,2,144442,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
DarthThanos,297469325,48,48,0,137283,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Demaio,531828666,18,11,7,133490,Shaak Ti Fives Rex Echo (501st) ARC Trooper G11
Hadriel Jetberg,656841941,11,5,6,132756,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Surfswithaliens,336411921,48,23,25,108403,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11 6*
BrianSkywalker,689764168,12,12,0,155255,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Resmi Hardin,431353962,32,25,7,128656,Shaak Ti R4 Fives R4 Rex R4 Echo (501st) R2 ARC Trooper R4
The High Ground,788859343,13,0,13,123469,Shaak Ti Fives R2 Rex R4 Echo (501st) R2 ARC Trooper G12
Vin,435563797,0,0,0,142187,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Recon Patrol,221828491,12,0,12,124009,Shaak Ti Fives R4 Rex Echo (501st) R4 ARC Trooper G8
Beserk Badger,738665898,0,0,0,149212,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Davos,715365225,40,15,25,107473,Shaak Ti Fives R2 Rex G12 Echo (501st) G12 ARC Trooper G8 6*
StarKiller316,842854673,14,14,0,147813,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Fallon Gray,769349676,13,2,11,118530,Shaak Ti G13 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
TheWing,457797887,0,0,0,136020,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tcheu,849334897,0,0,0,139778,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CreepingDeath,416858268,65,1,64,40520,Shaak Ti G1 3* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Jakoby77,543768742,0,0,0,148379,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Michl Johso,187668216,13,13,0,149355,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Cathbad333,458163314,36,3,33,105422,Shaak Ti Fives G10 Rex G8 Echo (501st) G9 ARC Trooper G12
Rune,836516255,36,6,30,89374,Shaak Ti Fives G12 Rex G12 Echo (501st) G9 ARC Trooper G9
Da MandaWhorian,742792457,4,0,4,130828,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper R3
Darthcarnage,668313584,42,17,25,109052,Shaak Ti R2 Fives G12 Rex G12 Echo (501st) G13 ARC Trooper G13
Petah One,595615614,0,0,0,145799,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Franklin Empire,627665115,6,0,6,137627,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Soupyzales,888783572,2,0,2,145515,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
Sika Canada,946369416,0,0,0,139207,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Knoxinbox,148488677,43,7,36,89463,Shaak Ti Fives G9 Rex G11 Echo (501st) G7 ARC Trooper G9 4*
PIGI KENNY,683679824,36,5,31,96753,Shaak Ti R1 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G9
LordViolence,491292939,4,0,4,139698,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
TwistyNuB,497555437,26,14,12,136641,Shaak Ti Fives G12 Rex G12 Echo (501st) ARC Trooper
Burton,759183489,39,0,39,79215,Shaak Ti G12 Fives G10 Rex G11 Echo (501st) G9 ARC Trooper G9
